source_rank,source_name,normalized_source_name,raw_affiliation,canonical_affiliation,resolution_action,confidence,canonical_player_id,candidate_player_ids,reason
38,Braden Smith,braden smith,Purdue,Purdue,matched,high,5652,5652,Normalized name matched one draft-year player with matching canonical affiliation
39,Ryan Conwell,ryan conwell,Louisville,Louisville,matched,high,5517,5517,Normalized name matched one draft-year player with matching canonical affiliation
40,JoJo Tugler,jojo tugler,Houston,Houston,matched,high,6026,6026,Normalized name matched one draft-year player with matching canonical affiliation
41,Sergio De Larrea,sergio de larrea,Valencia,,matched,high,5416,5416,Normalized name matched one draft-year player
42,Dame Sarr,dame sarr,Duke,Duke,matched,high,5584,5584,Normalized name matched one draft-year player with matching canonical affiliation
43,Tarris Reed Jr.,tarris reed,Connecticut,UConn,merge_required,medium,,5483|5542|6037,Multiple normalized-name candidates; review duplicate/alias merge
44,Alex Condon,alex condon,Florida,Florida,matched,high,1669,1669,Normalized name matched one draft-year player with matching canonical affiliation
45,Tamin Lipsey,tamin lipsey,Iowa State,Iowa State,matched,high,5493,5493,Normalized name matched one draft-year player with matching canonical affiliation
46,Milan Momcilovic,milan momcilovic,Iowa State,Iowa State,matched,high,5380,5380,Normalized name matched one draft-year player with matching canonical affiliation
47,Milos Uzan,milos uzan,Houston,Houston,matched,high,1726,1726,Normalized name matched one draft-year player with matching canonical affiliation
48,Johann Grunloh,johann grunloh,Virginia,Virginia,matched,high,5479,5479,Normalized name matched one draft-year player with matching canonical affiliation
49,Nate Bittle,nate bittle,Oregon,Oregon,matched,high,5461,5461,Normalized name matched one draft-year player with matching canonical affiliation
50,Flory Bidunga,flory bidunga,Kansas,Kansas,matched,high,5625,5625,Normalized name matched one draft-year player with matching canonical affiliation
51,Braden Huff,braden huff,Gonzaga,Gonzaga,matched,high,6064,6064,Normalized name matched one draft-year player with matching canonical affiliation
52,Morez Johnson Jr.,morez johnson,Michigan,Michigan,merge_required,medium,,5529|5706|6038,Multiple normalized-name candidates; review duplicate/alias merge
53,Bruce Thornton,bruce thornton,Ohio State,Ohio State,matched,high,5496,5496,Normalized name matched one draft-year player with matching canonical affiliation
54,Juke Harris,juke harris,Wake Forest,Wake Forest,matched,high,5386,5386,Normalized name matched one draft-year player with matching canonical affiliation
55,Jaden Bradley,jaden bradley,Arizona,Arizona,matched,high,5381,5381,Normalized name matched one draft-year player with matching canonical affiliation
56,Zuby Ejiofor,zuby ejiofor,St. John’s,St. John's,matched,high,5528,5528,Normalized name matched one draft-year player with matching canonical affiliation
57,Silas DeMary Jr.,silas demary,Connecticut,UConn,matched,high,5474,5474,Normalized name matched one draft-year player with matching canonical affiliation
58,MoMo Faye,momo faye,Paris Basketball,,matched,high,6065,6065,Normalized name matched one draft-year player
59,Adam Atamna,adam atamna,ASVEL,,matched,high,6066,6066,Normalized name matched one draft-year player
60,Tomislav Ivisic,tomislav ivisic,Illinois,Illinois,matched,high,5648,5648,Normalized name matched one draft-year player with matching canonical affiliation
61,Kwame Evans Jr.,kwame evans,Oregon,Oregon,merge_required,medium,,5452|5640,Multiple normalized-name candidates; review duplicate/alias merge
62,Paul McNeil,paul mcneil,NC State,NC State,matched,high,5488,5488,Normalized name matched one draft-year player with matching canonical affiliation
63,Pryce Sandfort,pryce sandfort,Nebraska,Nebraska,matched,high,5782,5782,Normalized name matched one draft-year player with matching canonical affiliation
64,Nolan Winter,nolan winter,Wisconsin,Wisconsin,matched,high,6067,6067,Normalized name matched one draft-year player with matching canonical affiliation
65,JT Toppin,jt toppin,Texas Tech,Texas Tech,matched,high,1653,1653,Normalized name matched one draft-year player with matching canonical affiliation
66,D’Shayne Montgomery,dshayne montgomery,Dayton,Dayton,create_stub,medium,,,No existing draft-year player or alias candidate found
67,Blue Cain,blue cain,Georgia,Georgia,matched,high,6069,6069,Normalized name matched one draft-year player with matching canonical affiliation
68,Andrej Stojakovic,andrej stojakovic,Illinois,Illinois,matched,medium,5632,5632,Normalized name matched one draft-year player
